#Values:
#Time step dt:	1e-06
#Max Time tmax:	20
#Samplesize:	10000
#Outfile:	./Data/data2.dat
#l1: 1	l2: 1	m1: 2	m2: 1
#Mass 1: 	starting angle: 1.5708, starting vel: 0
#Mass 2: 	starting angle: 0, starting vel: 0
#Time t 	 Angle1 in rad 	 Angle2 in rad 	 AngVel1 in rad/s 	 AngVel2 in rad/s 	 Cart Positions x1 	 y1 	 x2 	 y2 
0	1.5708	0	0	0	1	-6.12323e-17	1	-1
0.001999	1.57078	1.92023e-10	-0.01962	3.84558e-07	1	-1.96102e-05	1	-1.00002
0.003999	1.57072	3.07595e-09	-0.03924	3.078e-06	1	-7.84604e-05	1	-1.00008
0.005999	1.57062	1.55781e-08	-0.05886	1.039e-05	1	-0.000176551	1	-1.00018
0.007999	1.57048	4.9244e-08	-0.07848	2.46302e-05	1	-0.000313881	1	-1.00031
0.009999	1.57031	1.20239e-07	-0.0981	4.81082e-05	1	-0.000490451	1	-1.00049
0.011999	1.57009	2.49346e-07	-0.11772	8.31338e-05	1	-0.000706261	1	-1.00071
0.013999	1.56984	4.6197e-07	-0.13734	0.000132017	1	-0.000961312	1	-1.00096
0.015999	1.56954	7.88133e-07	-0.15696	0.000197066	0.999999	-0.0012556	1	-1.00126
0.017999	1.56921	1.26248e-06	-0.17658	0.000280592	0.999999	-0.00158913	1	-1.00159
0.019999	1.56883	1.92427e-06	-0.1962	0.000384904	0.999998	-0.0019619	1	-1.00196
0.021999	1.56842	2.81738e-06	-0.21582	0.000512312	0.999997	-0.00237391	1	-1.00237
0.023999	1.56797	3.99031e-06	-0.23544	0.000665125	0.999996	-0.00282516	1	-1.00283
0.025999	1.56748	5.49619e-06	-0.25506	0.000845653	0.999995	-0.00331565	1	-1.00332
0.027999	1.56695	7.39274e-06	-0.274679	0.0010562	0.999993	-0.00384537	1	-1.00385
0.029999	1.56638	9.74234e-06	-0.294299	0.00129909	0.99999	-0.00441434	1	-1.00441
0.031999	1.56577	1.26119e-05	-0.313919	0.00157662	0.999987	-0.00502254	1	-1.00502
0.033999	1.56513	1.60732e-05	-0.333538	0.0018911	0.999984	-0.00566998	1	-1.00567
0.035999	1.56444	2.02022e-05	-0.353158	0.00224484	0.99998	-0.00635665	1	-1.00636
0.037999	1.56371	2.50799e-05	-0.372777	0.00264016	0.999975	-0.00708256	1	-1.00708
0.039999	1.56295	3.07917e-05	-0.392396	0.00307935	0.999969	-0.0078477	1	-1.00785
0.041999	1.56214	3.74276e-05	-0.412015	0.00356473	0.999963	-0.00865207	1	-1.00865
0.043999	1.5613	4.50824e-05	-0.431634	0.00409861	0.999955	-0.00949568	1	-1.0095
0.045999	1.56042	5.38554e-05	-0.451252	0.0046833	0.999946	-0.0103785	1	-1.01038
0.047999	1.5595	6.38504e-05	-0.47087	0.00532109	0.999936	-0.0113006	1	-1.0113
0.049999	1.55853	7.5176e-05	-0.490488	0.00601431	0.999925	-0.0122619	1	-1.01226
0.051999	1.55753	8.79454e-05	-0.510105	0.00676526	0.999912	-0.0132624	1	-1.01326
0.053999	1.55649	0.000102276	-0.529722	0.00757624	0.999898	-0.0143021	1	-1.0143
0.055999	1.55541	0.000118291	-0.549338	0.00844957	0.999882	-0.015381	1	-1.01538
0.057999	1.5543	0.000136117	-0.568954	0.00938754	0.999864	-0.0164991	1	-1.0165
0.059999	1.55314	0.000155885	-0.58857	0.0103925	0.999844	-0.0176565	1	-1.01766
0.061999	1.55194	0.000177732	-0.608184	0.0114667	0.999822	-0.018853	1	-1.01885
0.063999	1.55071	0.000201798	-0.627798	0.0126124	0.999798	-0.0200888	1	-1.02009
0.065999	1.54943	0.00022823	-0.647411	0.013832	0.999772	-0.0213637	1	-1.02136
0.067999	1.54812	0.000257176	-0.667023	0.0151278	0.999743	-0.0226778	1	-1.02268
0.069999	1.54676	0.000288792	-0.686635	0.0165021	0.999711	-0.0240311	1	-1.02403
0.071999	1.54537	0.000323237	-0.706245	0.0179571	0.999677	-0.0254235	1	-1.02542
0.073999	1.54394	0.000360674	-0.725854	0.0194952	0.999639	-0.0268551	1	-1.02686
0.075999	1.54247	0.000401273	-0.745461	0.0211187	0.999599	-0.0283259	1	-1.02833
0.077999	1.54096	0.000445206	-0.765068	0.0228298	0.999555	-0.0298358	1	-1.02984
0.079999	1.53941	0.00049265	-0.784673	0.0246309	0.999507	-0.0313848	1	-1.03138
0.081999	1.53782	0.000543789	-0.804276	0.0265243	0.999456	-0.0329729	1	-1.03297
0.083999	1.53619	0.000598809	-0.823878	0.0285122	0.999401	-0.0346001	1	-1.0346
0.085999	1.53452	0.000657901	-0.843478	0.030597	0.999342	-0.0362664	1	-1.03627
0.087999	1.53282	0.000721261	-0.863076	0.0327809	0.999279	-0.0379718	1	-1.03797
0.089999	1.53107	0.00078909	-0.882672	0.0350663	0.999211	-0.0397162	1	-1.03972
0.091999	1.52928	0.000861593	-0.902265	0.0374553	0.999139	-0.0414996	1	-1.0415
0.093999	1.52746	0.000938979	-0.921857	0.0399503	0.999061	-0.0433221	1	-1.04332
0.095999	1.5256	0.00102146	-0.941446	0.0425536	0.998979	-0.0451836	1	-1.04518
0.097999	1.52369	0.00110926	-0.961032	0.0452675	0.998891	-0.047084	1	-1.04708
0.099999	1.52175	0.00120261	-0.980615	0.0480942	0.998798	-0.0490234	1	-1.04902
0.101999	1.51977	0.00130172	-1.0002	0.051036	0.998699	-0.0510017	1	-1.051
0.103999	1.51775	0.00140683	-1.01977	0.0540952	0.998594	-0.053019	1	-1.05302
0.105999	1.51569	0.00151817	-1.03935	0.057274	0.998482	-0.0550751	1	-1.05507
0.107999	1.5136	0.001636	-1.05892	0.0605747	0.998364	-0.05717	1	-1.05717
0.109999	1.51146	0.00176055	-1.07848	0.0639996	0.99824	-0.0593038	1	-1.0593
0.111999	1.50928	0.00189208	-1.09805	0.0675509	0.998109	-0.0614763	1	-1.06147
0.113999	1.50707	0.00203084	-1.1176	0.0712309	0.99797	-0.0636876	1	-1.06369
0.115999	1.50481	0.00217709	-1.13716	0.0750419	0.997824	-0.0659376	1	-1.06594
