#Werte:
#Zeitschritt dt:	1e-05
#Maximale Zeit tmax:	15
#Samplegroesse:	10000
#Ausgabedatei:	./Daten/data1.dat
#Zeit t	Winkel1 in rad	Winkel2 in rad	Winkelgeschw1 in rad/s	Winkelgeschw2 in rad/s
0	1.5708	1.5708	0	0
0.00149	1.57079	1.5708	-0.014715	-2.09152e-12
0.00299	1.57075	1.5708	-0.02943	-6.78719e-11
0.00449	1.5707	1.5708	-0.044145	-5.17804e-10
0.00599	1.57062	1.5708	-0.05886	-2.18709e-09
0.00749	1.57052	1.5708	-0.073575	-6.68378e-09
0.00899	1.5704	1.5708	-0.08829	-1.66468e-08
0.01049	1.57026	1.5708	-0.103005	-3.60041e-08
0.01199	1.57009	1.5708	-0.11772	-7.02308e-08
0.01349	1.5699	1.5708	-0.132435	-1.26607e-07
0.01499	1.56969	1.5708	-0.14715	-2.14476e-07
0.01649	1.56946	1.5708	-0.161865	-3.45504e-07
0.01799	1.56921	1.5708	-0.17658	-5.33933e-07
0.01949	1.56893	1.5708	-0.191295	-7.96846e-07
0.02099	1.56863	1.5708	-0.20601	-1.15442e-06
0.02249	1.56831	1.5708	-0.220725	-1.63018e-06
0.02399	1.56797	1.5708	-0.23544	-2.25128e-06
0.02549	1.56761	1.5708	-0.250155	-3.04873e-06
0.02699	1.56722	1.5708	-0.26487	-4.05765e-06
0.02849	1.56681	1.5708	-0.279585	-5.31759e-06
0.02999	1.56638	1.5708	-0.294301	-6.87269e-06
0.03149	1.56593	1.5708	-0.309016	-8.77204e-06
0.03299	1.56546	1.5708	-0.323731	-1.10699e-05
0.03449	1.56496	1.5708	-0.338446	-1.38258e-05
0.03599	1.56444	1.5708	-0.353161	-1.71051e-05
0.03749	1.5639	1.5708	-0.367877	-2.09792e-05
0.03899	1.56334	1.5708	-0.382592	-2.55253e-05
0.04049	1.56275	1.5708	-0.397307	-3.08274e-05
0.04199	1.56215	1.5708	-0.412023	-3.6976e-05
0.04349	1.56152	1.5708	-0.426739	-4.40688e-05
0.04499	1.56087	1.5708	-0.441454	-5.22104e-05
0.04649	1.56019	1.5708	-0.45617	-6.15131e-05
0.04799	1.5595	1.5708	-0.470886	-7.20967e-05
0.04949	1.55878	1.5708	-0.485602	-8.40893e-05
0.05099	1.55804	1.5708	-0.500318	-9.76271e-05
0.05249	1.55728	1.5708	-0.515034	-0.000112855
0.05399	1.5565	1.5708	-0.529751	-0.000129925
0.05549	1.55569	1.57079	-0.544467	-0.000149001
0.05699	1.55486	1.57079	-0.559184	-0.000170255
0.05849	1.55401	1.57079	-0.573901	-0.000193867
0.05999	1.55314	1.57079	-0.588618	-0.000220028
0.06149	1.55225	1.57079	-0.603335	-0.000248939
0.06299	1.55133	1.57079	-0.618053	-0.000280811
0.06449	1.55039	1.57079	-0.632771	-0.000315867
0.06599	1.54943	1.57079	-0.647489	-0.000354338
0.06749	1.54845	1.57079	-0.662208	-0.000396468
0.06899	1.54745	1.57079	-0.676926	-0.000442511
0.07049	1.54642	1.57079	-0.691646	-0.000492735
0.07199	1.54537	1.57079	-0.706365	-0.000547416
0.07349	1.5443	1.57079	-0.721085	-0.000606844
0.07499	1.54321	1.57079	-0.735805	-0.000671323
0.07649	1.54209	1.57079	-0.750526	-0.000741165
0.07799	1.54096	1.57079	-0.765247	-0.0008167
0.07949	1.5398	1.57078	-0.779969	-0.000898266
0.08099	1.53862	1.57078	-0.794692	-0.000986217
0.08249	1.53741	1.57078	-0.809414	-0.00108092
0.08399	1.53619	1.57078	-0.824138	-0.00118276
0.08549	1.53494	1.57078	-0.838862	-0.00129212
0.08699	1.53367	1.57078	-0.853587	-0.00140942
0.08849	1.53238	1.57077	-0.868312	-0.00153508
0.08999	1.53107	1.57077	-0.883038	-0.00166953
0.09149	1.52973	1.57077	-0.897765	-0.00181323
0.09299	1.52837	1.57077	-0.912493	-0.00196664
0.09449	1.527	1.57076	-0.927221	-0.00213026
0.09599	1.52559	1.57076	-0.941951	-0.00230456
0.09749	1.52417	1.57076	-0.956681	-0.00249008
0.09899	1.52272	1.57075	-0.971412	-0.00268733
0.10049	1.52126	1.57075	-0.986145	-0.00289687
0.10199	1.51977	1.57074	-1.00088	-0.00311925
0.10349	1.51825	1.57074	-1.01561	-0.00335505
0.10499	1.51672	1.57073	-1.03035	-0.00360488
0.10649	1.51516	1.57073	-1.04509	-0.00386932
0.10799	1.51358	1.57072	-1.05982	-0.00414903
0.10949	1.51198	1.57072	-1.07456	-0.00444464
0.11099	1.51036	1.57071	-1.0893	-0.00475681
0.11249	1.50871	1.5707	-1.10405	-0.00508624
0.11399	1.50705	1.57069	-1.11879	-0.0054336
0.11549	1.50536	1.57068	-1.13353	-0.00579963
0.11699	1.50365	1.57068	-1.14828	-0.00618505
0.11849	1.50191	1.57067	-1.16303	-0.00659062
0.11999	1.50016	1.57066	-1.17778	-0.00701711
0.12149	1.49838	1.57064	-1.19253	-0.00746531
0.12299	1.49658	1.57063	-1.20729	-0.00793603
0.12449	1.49476	1.57062	-1.22204	-0.00843009
0.12599	1.49291	1.57061	-1.2368	-0.00894833
0.12749	1.49105	1.57059	-1.25156	-0.00949164
0.12899	1.48916	1.57058	-1.26632	-0.0100609
0.13049	1.48725	1.57056	-1.28109	-0.010657
0.13199	1.48532	1.57055	-1.29585	-0.0112808
0.13349	1.48336	1.57053	-1.31062	-0.0119333
0.13499	1.48139	1.57051	-1.32539	-0.0126156
0.13649	1.47939	1.57049	-1.34016	-0.0133284
0.13799	1.47737	1.57047	-1.35494	-0.0140729
0.13949	1.47532	1.57045	-1.36972	-0.0148501
0.14099	1.47326	1.57043	-1.3845	-0.015661
0.14249	1.47117	1.5704	-1.39929	-0.0165067
0.14399	1.46906	1.57038	-1.41407	-0.0173882
0.14549	1.46693	1.57035	-1.42886	-0.0183067
0.14699	1.46477	1.57032	-1.44366	-0.0192632
0.14849	1.4626	1.57029	-1.45845	-0.020259
0.14999	1.4604	1.57026	-1.47325	-0.0212951
0.15149	1.45818	1.57023	-1.48806	-0.0223728
